data,timestamp (ms),timestamp (formatted)
"1628698145.264935,1,1628698140.499213,55.82835798949971,-4.280231379143888,22.34275,-1,-1,10,65,-9999,1628698145.254882,-0.4016685485839844,-16.65695190429688,-48.25921630859375,136.4270324707031,138.1811828613281,12.10060119628906,197412.892058375,0.0037994384765625,-0.039703369140625,-0.9941558837890625,197412.351797625,0.0008812400046736002,0.007754325866699219,-0.0006809702608734369,197412.874437375,63.28453063964844,-77.26252746582031,-113.6898651123047,197412.526439625,-0.1035570527093225,0.002764709323733432,0.04086111955113104,-0.000339800026267767,-0.002906843554228544,-0.0006848354823887348,-0.0006109056994318962,-0.001310292631387711,0.004868268966674805,2,0.02047326790669785,0.0003228964928311583,-0.05171633700704287,0.9984519382799537,0.002762398216873407,-0.04084974899888039,-0.9991614818572998,-0.3840293884277344,-16.46927642822266,-47.78910064697266,-1,2,197412.111680625,2,2,1628698144.484105,0,0,0,0,0,0,0,0,0,197410.047937,0,-0.449192,100.7312,0,0,0,0,0,5,1628698145.07049,1,0.77,1628698144.61",1628698145.355109,Wed Aug 11 16:09:05 2021
"8191,-24.99035,-44.5079,0
",1628698145.361868,Wed Aug 11 16:09:05 2021
"1628698146.27464,2,1628698140.499213,55.82835798949971,-4.280231379143888,22.34275,-1,-1,10,65,-9999,1628698146.260196,-0.1597175598144531,-16.51235198974609,-48.42678070068359,136.4170074462891,138.1711578369141,12.10072708129883,197413.8972005,0.0029144287109375,-0.0417022705078125,-0.9945068359375,197413.351911375,0.002207227982580662,0.007533283904194832,-0.000782436749432236,197413.8688355,63.59739685058594,-76.68199157714844,-113.1827392578125,197413.531581375,-0.1033215709967426,0.002842327636821538,0.0409040141642053,0.001033894484862685,-0.00191365834325552,0.0001576549839228392,-0.001161477528512478,0.0006704330444335938,0.005873382091522217,2,0.0204966466047644,0.0003629484405287021,-0.05159793093024934,0.998457560858785,0.002839946420863271,-0.04089260846376419,-0.9991595149040222,-0.6114158630371094,-16.30200958251953,-47.7005615234375,-1,2,197412.111680625,2,2,1628698144.484105,0,0,0,0,0,0,0,0,0,197411.117674,0,-0.4835434,100.7316,1628698146.071426,3232235814,168305893,0,0,5,1628698145.07049,1,0",1628698146.389396,Wed Aug 11 16:09:06 2021
".77,1628698145.617733,-36.25402,-43.38534,0
",1628698146.395147,Wed Aug 11 16:09:06 2021
"1628698147.27629,3,1628698140.499213,55.82835798949971,-4.280231379143888,22.34275,-1,-1,10,65,-9999,1628698147.265284,-0.4078178405761719,-16.30638122558594,-48.23813629150391,136.4142608642578,138.1684112548828,12.10083961486816,197414.902343875,0.001556396484375,-0.0415496826171875,-0.9953155517578125,197414.3520305,0.004604871850460768,0.009753295220434666,-0.005119128152728081,197414.893253875,63.17852783203125,-76.70234680175781,-113.4169616699219,197414.5367245,-0.1032602070726841,0.002874922730471876,0.04096103876054485,-0.00146798649802804,0.001009904779493809,0.0001095407642424107,-0.0004158392548561096,-0.00262952595949173,0.004253506660461426,2,0.02052594322750104,0.0003783778614270044,-0.05156688890209077,0.9984586015819508,0.002872507320716977,-0.04094958677887917,-0.9991570711135864,0.1652259826660156,-16.11882781982422,-48.18682098388672,-1,2,197412.111680625,2,2,1628698144.484105,0,0,0,0,0,0,0,0,0,197411.117674,0,-0.4835434,100.7316,1628698146.071426,3232235814,168305893,0,0,5,1628698145.0704",1628698147.404312,Wed Aug 11 16:09:07 2021
"9,1,0.77,1628698146.626861,-41.3922,-48.49741,0
",1628698147.408962,Wed Aug 11 16:09:07 2021
"1628698148.280321,4,1628698140.499213,55.82835798949971,-4.280231379143888,22.34275,-1,-1,10,65,-9999,1628698148.270574,-0.5710220336914062,-16.73281097412109,-48.02416229248047,136.4058074951172,138.1599578857422,12.10097122192383,197415.907487375,0.00390625,-0.0415496826171875,-0.9925689697265625,197415.352146875,0.002745719160884619,0.005079713650047779,-0.004284759983420372,197415.887574375,63.35552978515625,-77.21888732910156,-112.878662109375,197415.541867875,-0.1030635485984017,0.002937028237479654,0.0411432454754404,-0.0007206399459391832,-0.0007965913973748684,-0.000457472400739789,0.0003918791189789772,-0.000341758131980896,0.006229519844055176,2,0.02061846832655991,0.0004067067159852162,-0.05146784656710662,0.9984617380680267,0.002934538526460528,-0.0411316379904747,-0.9991494417190552,-0.3492050170898438,-16.44574737548828,-48.02967071533203,-1,2,197415.328132875,2,2,1628698147.700558,0,0,0,0,0,0,0,0,0,197412.187431,0,-0.5099678,100.7319,1628698146.071426,3232235814,168305893,0,0,5,1628698145.0704",1628698148.326921,Wed Aug 11 16:09:08 2021
"9,1,0.77,1628698147.618252,-33.00693,-48.22452,0
",1628698148.330612,Wed Aug 11 16:09:08 2021
"1628698149.285353,5,1628698140.499213,55.82835798949971,-4.280231379143888,22.34275,-1,-1,10,65,-9999,1628698149.27541,-0.433319091796875,-16.27099609375,-48.62294769287109,136.3964233398438,138.1505737304688,12.10110759735107,197416.91263175,0.0051116943359375,-0.039031982421875,-0.99310302734375,197416.352265375,0.00512685114517808,0.007619303651154041,-0.004490888677537441,197416.91206975,63.04588317871094,-77.32237243652344,-113.365478515625,197416.547011375,-0.1030408815879159,0.002938311368559504,0.04091611182432807,-0.0003869880456477404,0.0001107868738472462,0.001614021486602724,-0.001181085593998432,0.001552268862724304,0.003522753715515137,2,0.02050510370196228,0.0004134316671460091,-0.0514568011923574,0.9984646907375215,0.002935847966000438,-0.0409046970307827,-0.9991587400436401,-0.4361076354980469,-16.25845336914062,-48.22327423095703,-1,2,197415.328132875,2,2,1628698147.700558,0,0,0,0,0,0,0,0,0,197413.257223,0,-0.5337486,100.7322,1628698146.071426,3232235814,168305893,0,0,5,1628698145.07049,1,0.",1628698149.303426,Wed Aug 11 16:09:09 2021
"77,1628698148.61772,-27.80612,-47.40933,0
",1628698149.308705,Wed Aug 11 16:09:09 2021
"1628698150.293956,6,1628698140.499213,55.82835798949971,-4.280231379143888,22.34275,-1,-1,10,65,-9999,1628698150.28074,-0.5951423645019531,-16.74562835693359,-48.08187103271484,136.4018096923828,138.1559600830078,12.10125923156738,197417.9177757917,0.0015106201171875,-0.0414276123046875,-0.9951324462890625,197417.35238275,0.004102067090570927,0.006875216495245695,-0.001931857084855437,197417.9064437917,63.23722839355469,-77.376220703125,-113.489013671875,197417.55215575,-0.103094615055205,0.003153973175620317,0.04088323969699812,-0.0007006220985203981,-0.001576211769133806,0.0007439851760864258,-0.0006031133234500885,-0.001288190484046936,0.002989411354064941,2,0.02049425635403782,0.0005213930828281439,-0.0514814606995137,0.9984635480611641,0.00315133249387145,-0.04087185114622116,-0.9991594552993774,-0.4443435668945312,-16.41150665283203,-48.15732574462891,-1,2,197415.328132875,2,2,1628698147.700558,0,0,0,0,0,0,0,0,0,197414.326965,0,-0.5469589,100.7324,1628698146.071426,3232235814,168305893,0,0,5,1628698145.",1628698150.376899,Wed Aug 11 16:09:10 2021
"07049,1,0.77,1628698149.631637,-24.1084,-53.32372,0
",1628698150.38045,Wed Aug 11 16:09:10 2021
"1628698151.310217,7,1628698150.306012,55.82835798948478,-4.28023137923797,22.3433,-1,-1,10,65,-9999,1628698151.305929,-0.3839645385742188,-16.38385772705078,-48.30406951904297,136.4107208251953,138.1648712158203,12.10139083862305,197418.9229205417,0.0030670166015625,-0.0414276123046875,-0.99713134765625,197418.3525037917,0.005817675497382879,0.009218798018991947,-0.003232278628274798,197418.9008955417,63.15644836425781,-77.00100708007812,-113.4027252197266,197418.5573007917,-0.1031687077398514,0.003037625683961356,0.04103053457780228,-0.003235886106267571,-0.00253450870513916,0.001236813375726342,-0.0004563278052955866,0.0005527101457118988,0.007118880748748779,2,0.02056481292525503,0.0004587506999225782,-0.05151945396527646,0.9984601452602637,0.003035064553841949,-0.0410190224647522,-0.999153733253479,-0.4897003173828125,-16.16114807128906,-48.04201507568359,-1,2,197415.328132875,2,2,1628698147.700558,0,0,0,0,0,0,0,0,0,197415.396716,0,-0.5469589,100.7324,1628698146.071426,3232235814,168305893,0,0,5,162869814",1628698151.334548,Wed Aug 11 16:09:11 2021
"5.07049,1,0.77,1628698150.618216,-30.04361,-52.16969,0
",1628698151.337897,Wed Aug 11 16:09:11 2021
"1628698152.300941,8,1628698150.306012,55.82835798948478,-4.28023137923797,22.3433,-1,-1,10,65,-9999,1628698152.291123,-0.3219757080078125,-16.78422546386719,-47.85714721679688,136.4066314697266,138.1607818603516,12.10152816772461,197419.928066375,0.0027008056640625,-0.0367584228515625,-0.9908905029296875,197419.3526215417,0.002977680414915085,0.006352970842272043,-0.00250923028215766,197419.925310375,63.50823974609375,-76.67904663085938,-113.3958740234375,197419.5624455417,-0.1031392947073019,0.002848123504694349,0.04094863084751561,2.592336386442184e-05,0.001344636082649231,0.0007799519225955009,0.001441990956664085,0.003339525312185287,0.00870966911315918,2,0.02051903585346109,0.0003665596812005897,-0.05150681648031979,0.998461843732905,0.002845732029527426,-0.04093718901276588,-0.9991576671600342,-0.4508743286132812,-16.54799652099609,-48.29285430908203,-1,2,197415.328132875,2,2,1628698147.700558,0,0,0,0,0,0,0,0,0,197416.466407,0,-0.5522423,100.7324,1628698146.071426,3232235814,168305893,0,0,5,1628698145.0",1628698152.291029,Wed Aug 11 16:09:12 2021
"7049,1,0.77,1628698151.617739,-22.71809,-48.71426,0
",1628698152.300233,Wed Aug 11 16:09:12 2021
"1628698153.30611,9,1628698150.306012,55.82835798948478,-4.28023137923797,22.3433,-1,-1,10,65,-9999,1628698153.296174,0.1645622253417969,-16.66542053222656,-48.15589904785156,136.3997650146484,138.1539154052734,12.10170745849609,197420.93321225,0.0080718994140625,-0.0419464111328125,-0.992889404296875,197420.352743375,0.005952697712928057,0.003293797606602311,-0.003234409028664231,197420.91965825,64.03352355957031,-77.32376098632812,-113.3794097900391,197420.567591375,-0.1030793605660587,0.002983222157456177,0.04099861357445914,-0.001693908125162125,0.001665794756263494,-0.0017239258158952,0.0002388963475823402,-0.001386538147926331,-8.183717727661133e-05,2,0.02054745549701601,0.0004333320780444561,-0.05147544717773705,0.9984628218951477,0.002980710938572884,-0.04098713025450706,-0.9991552233695984,-0.2282676696777344,-16.71839141845703,-47.59789276123047,-1,2,197415.328132875,2,2,1628698147.700558,0,0,0,0,0,0,0,0,0,197417.536097,0,-0.5522423,100.7324,1628698146.071426,3232235814,168305893,0,0,5,1628698145.070",1628698153.317376,Wed Aug 11 16:09:13 2021
"49,1,0.77,1628698152.630038,-22.78347,-33.5631,0
",1628698153.320558,Wed Aug 11 16:09:13 2021
"1628698154.312268,10,1628698150.306012,55.82835798948478,-4.28023137923797,22.3433,-1,-1,10,65,-9999,1628698154.301717,-0.4152603149414062,-16.55867004394531,-48.13687896728516,136.3928070068359,138.1469573974609,12.10192394256592,197421.9383599167,0.0019073486328125,-0.040283203125,-0.99365234375,197421.35286225,0.003278617514297366,0.009720271453261375,-0.001736647333018482,197421.9139049167,63.18544006347656,-76.78793334960938,-113.5505981445312,197421.57273825,-0.1028371043915284,0.003140900320951916,0.04083669887658553,-0.0007183738052845001,0.00020945118740201,0.001817300100810826,-0.001764983870089054,-6.821379065513611e-05,0.004028916358947754,2,0.02047061900452927,0.0005187018665277262,-0.05135309853952452,0.9984706272275861,0.00313827651552856,-0.04082534834742546,-0.9991613626480103,-0.5304412841796875,-16.45868682861328,-48.2567138671875,-1,2,197415.328132875,2,2,1628698147.700558,0,0,0,0,0,0,0,0,0,197418.605823,0,-0.5443153,100.7324,1628698146.071426,3232235814,168305893,0,0,5,1628698145.07049,1,",1628698154.298707,Wed Aug 11 16:09:14 2021
"0.77,1628698153.618066,-16.42282,-29.20289,0
",1628698154.304115,Wed Aug 11 16:09:14 2021
"1628698155.330472,11,1628698150.306012,55.82835798948478,-4.28023137923797,22.3433,-1,-1,10,65,-9999,1628698155.326421,-0.2613029479980469,-16.62598419189453,-48.10785675048828,136.3890686035156,138.1432189941406,12.10215854644775,197422.9435075417,0.0023193359375,-0.0428314208984375,-0.9932861328125,197422.3529859167,0.006519950926303864,0.008380701765418053,-0.001790176844224334,197422.9383545417,63.52430725097656,-77.26791381835938,-113.0144653320312,197422.5778869167,-0.102833586285093,0.002885849727315738,0.0409912353781703,-0.001122159883379936,-0.000214320607483387,0.0009595835581421852,0.001389040611684322,-0.001378647983074188,0.001124203205108643,2,0.02054122003557039,0.0003874349491789549,-0.05135376199175695,0.9984691582980022,0.002883421489968896,-0.04097975790500641,-0.9991558194160461,-0.1623001098632812,-16.20491027832031,-48.30596923828125,-1,2,197415.328132875,2,2,1628698147.700558,0,0,0,0,0,0,0,0,0,197419.675537,0,-0.5416756,100.7323,1628698146.071426,3232235814,168305893,0,0,5,1628698145.0",1628698155.37177,Wed Aug 11 16:09:15 2021
"7049,1,0.77,1628698154.617669,-14.62833,-18.04842,0
",1628698155.379631,Wed Aug 11 16:09:15 2021
